call_id,call_date,organizer_email,duration_minutes,participant_count,call_type,department
TEAMS-000001,2018-01-01 13:44:00,U0147@acmecorp.com,9,6,audio,IT
TEAMS-000002,2018-01-01 14:53:00,U0122@acmecorp.com,48,2,video,Sales
TEAMS-000003,2018-01-01 10:11:00,U0076@acmecorp.com,71,4,video,Engineering
TEAMS-000004,2018-01-01 10:59:00,U0078@acmecorp.com,48,3,audio,Sales
TEAMS-000005,2018-01-01 15:01:00,U0134@acmecorp.com,5,2,audio,Human Resources
TEAMS-000006,2018-01-01 15:16:00,U0149@acmecorp.com,64,6,audio,Marketing
TEAMS-000007,2018-01-01 16:27:00,U0047@acmecorp.com,54,3,audio,Human Resources
TEAMS-000008,2018-01-02 11:24:00,U0076@acmecorp.com,30,3,audio,Engineering
TEAMS-000009,2018-01-02 15:30:00,U0120@acmecorp.com,11,2,video,Engineering
TEAMS-000010,2018-01-02 14:35:00,U0122@acmecorp.com,17,14,screen_share,Sales
TEAMS-000011,2018-01-02 13:40:00,U0071@acmecorp.com,7,4,video,IT
TEAMS-000012,2018-01-02 09:27:00,U0049@acmecorp.com,31,7,audio,Sales
TEAMS-000013,2018-01-02 13:54:00,U0015@acmecorp.com,28,13,screen_share,Operations
TEAMS-000014,2018-01-02 08:22:00,U0134@acmecorp.com,34,3,audio,Human Resources
TEAMS-000015,2018-01-03 09:35:00,U0092@acmecorp.com,15,5,audio,Marketing
TEAMS-000016,2018-01-03 14:48:00,U0153@acmecorp.com,13,4,video,Engineering
TEAMS-000017,2018-01-03 12:49:00,U0036@acmecorp.com,26,2,video,Sales
TEAMS-000018,2018-01-03 14:57:00,U0036@acmecorp.com,29,2,audio,Sales
TEAMS-000019,2018-01-04 08:18:00,U0016@acmecorp.com,61,4,video,Operations
TEAMS-000020,2018-01-04 11:24:00,U0080@acmecorp.com,27,3,video,Legal
TEAMS-000021,2018-01-04 11:59:00,U0100@acmecorp.com,50,2,audio,Sales
TEAMS-000022,2018-01-05 12:59:00,U0072@acmecorp.com,13,2,screen_share,Operations
TEAMS-000023,2018-01-05 09:09:00,U0172@acmecorp.com,53,5,audio,Sales
TEAMS-000024,2018-01-05 10:50:00,U0100@acmecorp.com,5,3,video,Sales
TEAMS-000025,2018-01-05 17:49:00,U0119@acmecorp.com,10,8,screen_share,Human Resources
TEAMS-000026,2018-01-05 13:54:00,U0134@acmecorp.com,39,2,video,Human Resources
TEAMS-000027,2018-01-05 13:09:00,U0051@acmecorp.com,12,4,screen_share,Finance
TEAMS-000028,2018-01-08 14:46:00,U0034@acmecorp.com,5,2,audio,Engineering
TEAMS-000029,2018-01-08 11:36:00,U0103@acmecorp.com,72,3,video,Engineering
TEAMS-000030,2018-01-08 12:40:00,U0167@acmecorp.com,42,3,audio,Engineering
TEAMS-000031,2018-01-08 12:06:00,U0198@acmecorp.com,31,2,audio,Engineering
TEAMS-000032,2018-01-08 09:55:00,U0071@acmecorp.com,5,2,screen_share,IT
TEAMS-000033,2018-01-08 11:45:00,U0171@acmecorp.com,8,4,audio,Finance
TEAMS-000034,2018-01-08 17:40:00,U0111@acmecorp.com,37,5,video,Operations
TEAMS-000035,2018-01-08 09:24:00,U0030@acmecorp.com,9,5,audio,Legal
TEAMS-000036,2018-01-08 13:54:00,U0175@acmecorp.com,15,3,video,Operations
TEAMS-000037,2018-01-08 14:18:00,U0079@acmecorp.com,45,2,audio,Sales
TEAMS-000038,2018-01-09 13:05:00,U0176@acmecorp.com,48,2,screen_share,Sales
TEAMS-000039,2018-01-09 09:04:00,U0060@acmecorp.com,9,2,screen_share,Marketing
TEAMS-000040,2018-01-09 10:40:00,U0092@acmecorp.com,44,2,audio,Marketing
TEAMS-000041,2018-01-09 14:00:00,U0192@acmecorp.com,28,5,screen_share,Legal
TEAMS-000042,2018-01-09 16:04:00,U0167@acmecorp.com,19,2,screen_share,Engineering
TEAMS-000043,2018-01-09 10:54:00,U0175@acmecorp.com,17,3,audio,Operations
TEAMS-000044,2018-01-09 13:14:00,U0100@acmecorp.com,64,3,audio,Sales
TEAMS-000045,2018-01-09 15:55:00,U0134@acmecorp.com,54,2,screen_share,Human Resources
TEAMS-000046,2018-01-09 13:24:00,U0175@acmecorp.com,36,2,video,Operations
TEAMS-000047,2018-01-10 09:15:00,U0136@acmecorp.com,44,2,audio,Operations
TEAMS-000048,2018-01-10 11:14:00,U0072@acmecorp.com,23,2,screen_share,Operations
TEAMS-000049,2018-01-10 13:34:00,U0141@acmecorp.com,51,3,audio,Sales
TEAMS-000050,2018-01-10 08:24:00,U0176@acmecorp.com,71,7,screen_share,Sales
TEAMS-000051,2018-01-10 12:57:00,U0150@acmecorp.com,20,3,screen_share,Engineering
TEAMS-000052,2018-01-10 15:43:00,U0059@acmecorp.com,37,3,video,Engineering
TEAMS-000053,2018-01-10 14:53:00,U0049@acmecorp.com,55,3,video,Sales
TEAMS-000054,2018-01-10 17:01:00,U0153@acmecorp.com,27,4,screen_share,Engineering
TEAMS-000055,2018-01-10 17:54:00,U0099@acmecorp.com,14,3,video,Finance
TEAMS-000056,2018-01-11 10:02:00,U0015@acmecorp.com,56,4,video,Operations
TEAMS-000057,2018-01-11 16:35:00,U0076@acmecorp.com,5,2,screen_share,Engineering
TEAMS-000058,2018-01-11 12:17:00,U0051@acmecorp.com,31,2,audio,Finance
TEAMS-000059,2018-01-11 11:41:00,U0043@acmecorp.com,30,3,video,Engineering
TEAMS-000060,2018-01-11 09:31:00,U0103@acmecorp.com,5,13,audio,Engineering
TEAMS-000061,2018-01-11 11:34:00,U0191@acmecorp.com,23,2,video,Engineering
TEAMS-000062,2018-01-11 13:59:00,U0184@acmecorp.com,25,2,video,Engineering
TEAMS-000063,2018-01-11 08:08:00,U0184@acmecorp.com,11,3,video,Engineering
TEAMS-000064,2018-01-12 13:50:00,U0060@acmecorp.com,22,6,audio,Marketing
TEAMS-000065,2018-01-15 13:54:00,U0184@acmecorp.com,19,3,video,Engineering
TEAMS-000066,2018-01-15 14:25:00,U0103@acmecorp.com,21,4,audio,Engineering
TEAMS-000067,2018-01-15 09:16:00,U0191@acmecorp.com,52,2,screen_share,Engineering
TEAMS-000068,2018-01-15 13:34:00,U0047@acmecorp.com,56,3,audio,Human Resources
TEAMS-000069,2018-01-15 13:36:00,U0015@acmecorp.com,37,2,video,Operations
TEAMS-000070,2018-01-16 12:42:00,U0134@acmecorp.com,35,2,video,Human Resources
TEAMS-000071,2018-01-16 11:24:00,U0167@acmecorp.com,44,4,audio,Engineering
TEAMS-000072,2018-01-16 13:37:00,U0043@acmecorp.com,19,2,screen_share,Engineering
TEAMS-000073,2018-01-16 09:35:00,U0171@acmecorp.com,5,3,screen_share,Finance
TEAMS-000074,2018-01-16 08:44:00,U0016@acmecorp.com,50,2,video,Operations
TEAMS-000075,2018-01-16 09:15:00,U0185@acmecorp.com,31,5,video,Engineering
TEAMS-000076,2018-01-16 18:22:00,U0192@acmecorp.com,37,2,screen_share,Legal
TEAMS-000077,2018-01-17 10:31:00,U0122@acmecorp.com,5,9,video,Sales
TEAMS-000078,2018-01-17 17:53:00,U0078@acmecorp.com,44,2,screen_share,Sales
TEAMS-000079,2018-01-17 14:56:00,U0078@acmecorp.com,45,6,screen_share,Sales
TEAMS-000080,2018-01-17 10:25:00,U0030@acmecorp.com,69,2,video,Legal
TEAMS-000081,2018-01-17 14:44:00,U0137@acmecorp.com,53,3,screen_share,Engineering
TEAMS-000082,2018-01-17 16:57:00,U0107@acmecorp.com,75,2,audio,IT
TEAMS-000083,2018-01-17 13:08:00,U0030@acmecorp.com,47,2,screen_share,Legal
TEAMS-000084,2018-01-17 12:29:00,U0192@acmecorp.com,34,2,screen_share,Legal
TEAMS-000085,2018-01-17 11:25:00,U0059@acmecorp.com,28,7,screen_share,Engineering
TEAMS-000086,2018-01-17 13:26:00,U0191@acmecorp.com,5,6,video,Engineering
TEAMS-000087,2018-01-17 14:15:00,U0185@acmecorp.com,25,14,audio,Engineering
TEAMS-000088,2018-01-17 13:40:00,U0137@acmecorp.com,49,4,video,Engineering
TEAMS-000089,2018-01-17 10:55:00,U0059@acmecorp.com,43,2,video,Engineering
TEAMS-000090,2018-01-17 13:33:00,U0079@acmecorp.com,28,4,video,Sales
TEAMS-000091,2018-01-18 11:31:00,U0103@acmecorp.com,56,3,screen_share,Engineering
TEAMS-000092,2018-01-18 15:54:00,U0103@acmecorp.com,20,3,audio,Engineering
TEAMS-000093,2018-01-19 16:28:00,U0059@acmecorp.com,56,2,video,Engineering
TEAMS-000094,2018-01-19 15:11:00,U0185@acmecorp.com,29,10,video,Engineering
TEAMS-000095,2018-01-19 13:30:00,U0059@acmecorp.com,60,5,audio,Engineering
TEAMS-000096,2018-01-19 12:31:00,U0172@acmecorp.com,51,3,audio,Sales
TEAMS-000097,2018-01-19 15:20:00,U0060@acmecorp.com,28,3,screen_share,Marketing
TEAMS-000098,2018-01-19 13:45:00,U0185@acmecorp.com,49,3,screen_share,Engineering
TEAMS-000099,2018-01-19 16:12:00,U0112@acmecorp.com,12,3,audio,Human Resources
TEAMS-000100,2018-01-22 09:47:00,U0096@acmecorp.com,5,4,video,Sales
TEAMS-000101,2018-01-22 14:12:00,U0134@acmecorp.com,21,2,audio,Human Resources
TEAMS-000102,2018-01-23 14:41:00,U0184@acmecorp.com,40,4,video,Engineering
TEAMS-000103,2018-01-23 11:46:00,U0192@acmecorp.com,65,4,audio,Legal
TEAMS-000104,2018-01-23 13:59:00,U0060@acmecorp.com,30,5,video,Marketing
TEAMS-000105,2018-01-23 16:05:00,U0036@acmecorp.com,35,2,screen_share,Sales
TEAMS-000106,2018-01-23 12:12:00,U0149@acmecorp.com,19,2,video,Marketing
TEAMS-000107,2018-01-23 12:37:00,U0051@acmecorp.com,44,2,audio,Finance
TEAMS-000108,2018-01-23 13:35:00,U0076@acmecorp.com,37,8,video,Engineering
